ANGIND,BE,13.4,11/04/17,5,04/09/17,42836,42982
ANIKINDS,EQ,81.45,03/10/17,23.8,06/07/17,43011,42922
ANSALAPI,EQ,33.65,16/06/17,14.05,31/01/17,42902,42766
ANSALHSG,EQ,36,18/04/17,18.8,27/09/17,42843,43005
ANTGRAPHIC,BE,1.95,16/06/17,0.75,21/11/17,42902,43060
APARINDS,EQ,908.3,31/05/17,613.5,01/02/17,42886,42767
APCL,EQ,296.8,31/08/17,191,11/08/17,42978,42958
APCOTEXIND,EQ,520,07/11/17,301.65,03/02/17,43046,42769
APEX,EQ,939,07/12/17,202,04/09/17,43076,42982
APLAPOLLO,EQ,2376,04/01/18,951.4,11/01/17,43104,42746
APLLTD,EQ,648,10/03/17,469.85,15/09/17,42804,42993
APOLLOHOSP,EQ,1358,09/06/17,957.15,14/11/17,42895,43053
APOLLOTYRE,EQ,288.65,09/01/18,171.6,16/02/17,43109,42782
APOLSINHOT,EQ,1823.2,05/01/18,301,12/01/17,43105,42747
APTECHT,EQ,404.3,24/11/17,178.25,23/05/17,43063,42878
ARCHIDPLY,EQ,126,26/12/17,59.3,12/01/17,43095,42747
ARCHIES,EQ,55.15,21/12/17,22.5,15/02/17,43090,42781
ARCOTECH,EQ,162.59,14/02/17,45.35,03/11/17,42780,43042
ARENTERP,EQ,24.3,09/01/18,16.05,17/11/17,43109,43056
ARIES,BE,292.8,24/10/17,122.7,10/08/17,43032,42957
ARIHANT,BE,64.75,10/05/17,38,22/11/17,42865,43061
ARIHANTSUP,EQ,208.8,05/07/17,100,29/03/17,42921,42823
ARMANFIN,BE,290,27/11/17,171.7,16/01/17,43066,42751
AROGRANITE,EQ,97.9,05/01/18,58.8,11/08/17,43105,42958
ARROWGREEN,EQ,715,07/09/17,415,03/04/17,42985,42828
ARROWTEX,EQ,58.4,09/10/17,37.6,10/07/17,43017,42926
ARSHIYA,EQ,119.95,22/12/17,30.5,11/01/17,43091,42746
ARSSINFRA,BE,86.35,25/04/17,38.3,28/09/17,42850,43006
ARVIND,EQ,478.5,11/01/18,353.25,28/06/17,43111,42914
ARVSMART,EQ,222.95,10/01/18,67.2,21/02/17,43110,42787
ASAHIINDIA,EQ,438,14/09/17,188,23/01/17,42992,42758
ASAHISONG,EQ,425.2,10/01/18,234.75,11/01/17,43110,42746
ASAL,EQ,119.75,09/01/18,61.1,16/01/17,43109,42751
ASHAPURMIN,EQ,119.7,09/01/18,47,11/08/17,43109,42958
ASHIANA,EQ,249.15,03/04/17,137.2,20/01/17,42828,42755
ASHIMASYN,EQ,38.1,11/01/18,14.1,29/03/17,43111,42823
ASHOKA,EQ,268.95,29/11/17,154.1,11/01/17,43068,42746
ASHOKLEY,EQ,133.9,26/10/17,80.75,29/03/17,43034,42823
ASIANHOTNR,EQ,229.95,11/01/18,101.4,31/03/17,43111,42825
ASIANPAINT,EQ,1262,19/09/17,921.5,11/01/17,42997,42746
ASIANTILES,EQ,614.95,08/01/18,235.15,11/01/17,43108,42746
ASPINWALL,EQ,579.5,27/12/17,185.15,25/01/17,43096,42760
ASSAMCO,BE,9.3,09/03/17,3.9,19/09/17,42803,42997
ASTEC,EQ,684,04/05/17,477.05,31/10/17,42859,43039
ASTRAL,EQ,868,09/01/18,375.2,24/01/17,43109,42759
ASTRAMICRO,EQ,149.25,09/06/17,100.9,08/11/17,42895,43047
ASTRAZEN,EQ,1278,07/11/17,880.2,22/08/17,43046,42969
ASTRON,EQ,174,10/01/18,112.5,29/12/17,43110,43098
ATFL,EQ,768,18/12/17,447,18/01/17,43087,42753
ATLANTA,EQ,127.8,08/01/18,71.95,23/01/17,43108,42758
ATLASCYCLE,BE,347.5,16/01/17,135.63,02/06/17,42751,42888
ATUL,EQ,3025,10/01/18,1945.4,05/05/17,43110,42860
ATULAUTO,EQ,512,18/09/17,389.3,28/06/17,42996,42914
AUBANK,EQ,737,13/12/17,496.25,07/08/17,43082,42954
AURIONPRO,EQ,287.7,04/01/18,103.1,12/06/17,43104,42898
AUROPHARMA,EQ,809.45,07/11/17,503.05,29/05/17,43046,42884
AUSOMENT,EQ,87.65,11/12/17,20.5,13/06/17,43080,42899
AUSTRAL,BE,0.4,02/08/17,0.15,09/01/18,42949,43109
AUTOAXLES,EQ,1770,11/01/18,616.1,17/03/17,43111,42811
AUTOIND,BE,123.5,01/12/17,47.95,23/02/17,43070,42789
AUTOLITIND,EQ,110.8,20/09/17,49.5,17/02/17,42998,42783
AVADHSUGAR,EQ,1309.4,07/11/17,419.4,28/07/17,43046,42944
AVANTIFEED,EQ,2940,13/11/17,528.15,12/01/17,43052,42747
AVTNPL,EQ,62.25,27/12/17,32.2,12/01/17,43096,42747
AXISBANK,EQ,573,09/01/18,441.1,23/01/17,43109,42758
AXISCADES,EQ,225,04/01/18,111.05,17/10/17,43104,43025
AXISGOLD,EQ,2759.9,27/02/17,2467,05/07/17,42793,42921
AXISNIFTY,EQ,1069.46,11/01/18,830.3,10/07/17,43111,42926
AYMSYNTEX,EQ,101.9,30/01/17,51.7,24/08/17,42765,42971
BAFNAPHARM,EQ,34,11/01/17,22,22/08/17,42746,42969
BAGFILMS,BE,9.2,30/11/17,3.95,14/06/17,43069,42900
BAJAJ-AUTO,EQ,3385,27/12/17,2681.5,19/01/17,43096,42754
BAJAJCORP,EQ,525,11/01/18,340.55,30/05/17,43111,42885
BAJAJELEC,EQ,584.7,05/01/18,225.6,20/01/17,43105,42755
BAJAJFINSV,EQ,5790,11/09/17,2932.45,11/01/17,42989,42746
BAJAJHIND,EQ,18.8,02/01/18,13.05,29/03/17,43102,42823
BAJAJHLDNG,EQ,3025,26/10/17,1750,10/07/17,43034,42926
BAJFINANCE,EQ,1985.9,07/09/17,886,12/01/17,42985,42747
BALAJITELE,EQ,202.8,21/07/17,85,03/03/17,42937,42797
BALAMINES,EQ,782,11/01/18,294,11/08/17,43111,42958
BALAXI,BE,16.4,09/10/17,12.9,31/10/17,43017,43039
BALKRISHNA,BE,124.65,29/12/17,65,15/03/17,43098,42809
BALKRISIND,EQ,1274.2,20/12/17,536,13/01/17,43089,42748
BALLARPUR,EQ,22.85,15/05/17,11.35,05/10/17,42870,43013
BALMLAWRIE,EQ,299.95,09/11/17,202,17/02/17,43048,42783
BALPHARMA,EQ,128.2,01/01/18,83.95,08/02/17,43101,42774
BALRAMCHIN,EQ,182.5,13/09/17,129.8,28/12/17,42991,43097
BANARBEADS,BE,108.3,01/01/18,49.75,22/08/17,43101,42969
BANARISUG,EQ,2649,06/11/17,1717.65,27/06/17,43045,42913
BANCOINDIA,EQ,277,09/01/18,189.05,16/02/17,43109,42782
BANG,EQ,52,10/04/17,27.45,14/08/17,42835,42961
BANKBARODA,EQ,206.65,26/10/17,133.5,23/10/17,43034,43031
BANKBEES,EQ,2635.28,28/11/17,1870.5,11/01/17,43067,42746
BANKINDIA,EQ,216.8,17/11/17,111.15,23/01/17,43056,42758
BANSWRAS,EQ,261,03/05/17,121,03/10/17,42858,43011
BARTRONICS,BE,21.45,11/01/17,12.25,16/08/17,42746,42963
BASF,EQ,2429.9,08/01/18,1121.6,15/02/17,43108,42781
BASML,EQ,374.8,10/01/18,275.25,24/01/17,43110,42759
BATAINDIA,EQ,832.8,01/11/17,456.55,23/01/17,43040,42758
BAYERCROP,EQ,5070,02/06/17,3686,17/10/17,42888,43025
BBL,EQ,1500,22/06/17,804.1,09/03/17,42908,42803
BBTC,EQ,1823.9,10/01/18,538,20/01/17,43110,42755
BEARDSELL,EQ,95.65,24/03/17,47.1,11/08/17,42818,42958
BEDMUTHA,EQ,49.95,22/05/17,21.15,18/10/17,42877,43026
BEL,EQ,1477.27,30/01/17,139.14,30/03/17,42765,42824
BEML,EQ,1947,19/09/17,1125.15,25/05/17,42997,42880
BEPL,EQ,211.5,05/01/18,22.1,15/02/17,43105,42781
BERGEPAINT,EQ,286.3,25/10/17,207.25,23/01/17,43033,42758
BFINVEST,EQ,431,24/11/17,145,23/01/17,43063,42758
BFUTILITIE,EQ,597.9,11/01/18,312,11/08/17,43111,42958
BGLOBAL,BE,21.65,27/01/17,4.5,24/08/17,42762,42971
BGRENERGY,EQ,184.8,10/05/17,123.2,11/08/17,42865,42958
BHAGERIA,EQ,405.7,07/02/17,230,11/08/17,42773,42958
BHAGYANGR,EQ,57.8,05/12/17,19.4,14/08/17,43074,42961
BHAGYAPROP,EQ,29.2,20/07/17,16.75,13/10/17,42936,43021
BHANDARI,BE,6.1,07/11/17,2,16/08/17,43046,42963
BHARATFIN,EQ,1068,11/01/18,636.1,11/01/17,43111,42746
BHARATFORG,EQ,751,08/01/18,457.5,23/01/17,43108,42758
BHARATGEAR,EQ,231.7,10/01/18,105.1,14/03/17,43110,42808
BHARATIDIL,BZ,17.75,22/09/17,4.95,21/12/17,43000,43090
BHARATIWIN,EQ,39.6,03/01/18,29.55,18/12/17,43103,43087
BHARATRAS,EQ,4897,11/01/18,1818,11/01/17,43111,42746
BHARATWIRE,EQ,165.85,11/01/18,72.5,11/01/17,43111,42746
BHARTIARTL,EQ,564.8,03/11/17,305,25/01/17,43042,42760
BHEL,EQ,121.83,25/04/17,80.87,11/08/17,42850,42958
BHUSANSTL,EQ,102.7,18/05/17,42.1,16/01/17,42873,42751
BIGBLOC,EQ,154.9,10/01/18,54.2,11/01/17,43110,42746
BIL,EQ,699.95,18/09/17,452,03/03/17,42996,42797
BILENERGY,BE,1.05,11/01/18,0.3,24/10/17,43111,43032
BINANIIND,BE,150,26/12/17,66.45,11/08/17,43095,42958
BINDALAGRO,EQ,44,01/01/18,21.5,11/08/17,43101,42958
BIOCON,EQ,564,08/01/18,295.03,25/05/17,43108,42880
BIOFILCHEM,BE,23.85,06/11/17,15,13/09/17,43045,42991
BIRLACABLE,BE,72.4,04/12/17,37,23/03/17,43073,42817
BIRLACORPN,EQ,1265.95,08/01/18,666.1,09/03/17,43108,42803
BIRLAMONEY,EQ,164.9,26/07/17,26.3,11/01/17,42942,42746
BKMINDST,EQ,50,09/05/17,17.1,11/01/17,42864,42746
BLBLIMITED,BE,10,15/12/17,4.75,21/08/17,43084,42968
BLISSGVS,EQ,220.25,28/12/17,129.15,07/06/17,43097,42893
BLKASHYAP,EQ,71.9,21/11/17,19.5,14/02/17,43060,42780
BLS,EQ,293,10/01/18,119,17/04/17,43110,42842
BLUEBLENDS,EQ,64,22/06/17,26,27/10/17,42908,43035
BLUECHIP,BE,0.5,30/01/17,0.15,02/03/17,42765,42796
BLUECOAST,EQ,154.9,02/06/17,105,03/03/17,42888,42797
BLUEDART,EQ,5300,15/03/17,3830,11/08/17,42809,42958
BLUESTARCO,EQ,838,28/12/17,493.3,11/01/17,43097,42746
BODALCHEM,EQ,193.75,13/07/17,126.5,03/03/17,42929,42797
BOMDYEING,EQ,304.9,08/01/18,52.55,20/01/17,43108,42755
BOSCHLTD,EQ,25240,19/06/17,18802.45,27/11/17,42905,43066
BPCL,EQ,551.55,30/10/17,399.33,27/06/17,43038,42913
BPL,EQ,121.9,20/12/17,53.6,11/08/17,43089,42958
BRFL,EQ,231.65,18/12/17,91.2,08/01/18,43087,43108
BRIGADE,EQ,324.9,01/01/18,152.6,20/01/17,43101,42755
